遺構番号,名称,分類,全長,刀身長,茎長,刀身先幅,刀身元幅,刀身元厚,茎先幅,茎元幅,茎先厚
P125,小刀･刀子,刀子小,6.2,4,2.2,0.8,1,0.4,0.6,0.8,0.3
P103,小刀･刀子,刀子小,9.2,4.3,4.9,0.9,1,0.3,0.4,1.05,0.3
P121,小刀･刀子,刀子小,6.9,4.7,2.2,1,1.1,0.25,0.65,0.8,0.2
P97,小刀･刀子,刀子小,8.2,6,2.2,0.65,0.8,0.3,0.8,1.05,0.3
P125,小刀･刀子,刀子小,11.8,6.3,5.5,0.6,1.25,0.3,0.6,1.05,0.3
P207,小刀･刀子,刀子小,12,6.44,5.56,1.4,1.9,0.4,0.65,1.25,0.34
P125,小刀･刀子,刀子小,12.5,6.6,5.9,0.6,1.4,0.4,0.4,1,0.2
P16,小刀･刀子,刀子小,13.8,7.3,6.5,0.5,1.1,0.3,0.3,0.7,0.2
P203,小刀･刀子,刀子小,,7.8,,1.4,1.7,0.6,,1.2,
P12,小刀・刀子,刀子小,14.2,8,6.2,0.6,1.2,0.35,0.7,1.2,0.3
P125,小刀･刀子,刀子小,,8.2,,0.65,1.1,0.4,,0.8,
P207,小刀･刀子,刀子小,,8.3,,0.85,1.5,0.4,,1.3,
P21,小刀･刀子,刀子小,15.3,8.6,6.7,0.8,1.3,0.2,0.5,0.8,0.2
P125,小刀･刀子,刀子小,14.2,8.8,5.4,0.8,1.2,0.35,0.5,1,0.3
P7,小刀･刀子,刀子小,,8.8,,0.75,1.8,0.3,0.4,0.6,0.25
P16,小刀･刀子,刀子小,15.8,9,6.8,0.5,1.11,0.45,0.4,0.7,0.3
P28,小刀･刀子,刀子小,13.5,9.1,4.4,0.7,1.5,0.3,0.6,0.9,0.25
P11,小刀・刀子,刀子小,15.7,9.2,6.45,1,1.2,0.45,0.5,1.14,0.3
P14,小刀･刀子,刀子小,13.8,9.2,4.6,1,1.5,0.3,0.7,1.4,0.2
P30,小刀・刀子,刀子小,14.65,9.2,15.46,0.97,1.8,0.41,0.5,1.22,0.26
P22,小刀･刀子,刀子小,15,9.25,5.75,0.7,1.5,0.3,0.5,0.8,0.2
P14,小刀･刀子,刀子小,16.3,9.3,7,1.2,1.9,0.4,1,1.6,0.3
P89,小刀･刀子,刀子小,17.7,9.3,8.4,1.1,1.9,0.5,1,1.8,0.3
P28,小刀･刀子,刀子小,,10,,0.9,1.5,0.4,,,
P83,小刀･刀子,刀子小,16.3,10,6.3,1.65,1.55,0.38,0.84,1.2,0.3
